fileID,f1,f2,vot,notes
bi01_kaka,650.90,1637.02,24.81,
bi01_kaka1,714.32,1567.58,25.49,
bi01_kaka2,709.19,1560.03,28.29,
bi01_keke,495.24,2168.42,31.55,
bi01_keke1,893.01,2152.98,32.39,
bi01_keke2,579.31,2339.40,32.87,
bi01_kiki,823.90,2711.97,18.54,
bi01_kiki1,348.26,2632.05,52.80,
bi01_kiki2,493.55,2765.72,50.48,
bi01_koko,498.60,1049.62,30.88,
bi01_koko1,513.35,1012.33,23.98,
bi01_koko2,599.63,1095.21,26.13,
bi01_kuku,520.29,1085.70,31.55,
bi01_kuku1,457.27,1085.94,29.56,
bi01_kuku2,231.68,1523.96,167.71,error
bi01_paka,636.92,1798.53,10.82,
bi01_paka1,478.08,1203.61,26.06,
bi01_paka2,723.91,1591.12,18.49,
bi01_peke,480.94,2388.24,16.16,
bi01_peke1,538.02,2385.35,16.12,
bi01_peke2,586.71,2189.72,13.36,
bi01_piki,394.24,2572.92,23.80,
bi01_piki1,300.41,2576.74,27.74,
bi01_piki2,412.77,2696.80,14.36,
bi01_poko,574.84,1182.03,20.75,
bi01_poko1,456.21,1060.58,17.19,
bi01_poko2,350.93,1039.92,18.90,
bi01_puku,436.90,936.48,18.83,
bi01_puku1,438.71,919.01,46.71,
bi01_puku2,425.06,979.09,23.93,
bi01_taka,662.33,1678.52,10.16,
bi01_taka1,697.26,1675.21,16.65,
bi01_taka2,300.67,1410.20,17.95,
bi01_teke,518.24,2340.06,15.48,
bi01_teke1,669.55,2311.48,14.44,
bi01_teke2,514.68,2361.35,17.17,
bi01_tiki,298.87,2629.78,16.16,
bi01_tiki1,461.89,2637.19,18.80,
bi01_tiki2,448.42,2666.14,27.66,
bi01_toko,598.46,1154.98,16.57,
bi01_toko1,526.94,1062.50,16.22,
bi01_toko2,510.96,1073.20,19.27,
bi01_tuku,529.54,831.24,14.10,
bi01_tuku1,477.36,1022.60,22.78,
bi01_tuku2,432.98,963.16,15.22,
